tonality,vector_means
8.0,-112.90802001953124
10.0,-170.909912109375
9.0,-242.40853881835938
4.0,-696.4152221679688
8.0,-522.296630859375
8.0,-100.61200714111328
7.0,-181.6185760498047
9.0,-191.19107055664062
10.0,-147.7841033935547
10.0,-230.8766326904297
6.0,-185.35299682617188
8.0,-232.5888519287109
9.0,-364.175537109375
10.0,-313.1243896484375
10.0,-361.593994140625
9.0,-82.63378143310547
9.0,-209.37765502929688
8.0,-185.010498046875
9.0,-179.34225463867188
9.0,-151.6548309326172
9.0,-213.3537750244141
9.0,-175.0745849609375
8.0,-88.84955596923828
9.0,-70.93578338623047
8.0,-541.0404052734375
10.0,-416.0263366699219
3.0,-406.5095520019531
7.0,-181.50782775878903
8.0,-307.6703796386719
7.0,-200.12081909179688
9.0,-541.0363159179689
9.0,-300.1529235839844
9.0,-141.30723571777344
10.0,-315.92584228515625
10.0,-104.19694519042969
8.0,-198.7472381591797
8.0,-219.71112060546875
8.0,-303.1736755371094
9.0,-373.8634033203125
7.0,-288.3035583496094
9.0,-239.03265380859372
9.0,-590.859130859375
9.0,-81.18761444091797
8.0,-298.26611328125
5.0,-67.59255981445311
8.0,-248.5025634765625
8.0,-133.12139892578122
8.0,-430.23974609375
8.0,-281.35067749023443
10.0,-287.7197570800781
8.0,-39.75896453857422
9.0,-251.75732421875
4.0,-465.4881591796875
9.0,-104.27013397216795
7.0,-198.76353454589844
8.0,-442.64166259765625
9.0,-424.8437194824219
9.0,-86.66532135009766
2.0,-301.5827331542969
10.0,-17.630033493041992
9.0,-184.10304260253903
9.0,-269.40643310546875
5.0,-562.3356323242189
9.0,-225.98280334472656
9.0,-645.9070434570312
10.0,-204.3621368408203
9.0,-94.32479858398438
9.0,-227.9269561767578
9.0,-64.41220092773439
8.0,-172.41542053222656
10.0,-94.9166030883789
6.0,-381.47369384765625
8.0,-33.97525787353516
7.0,-266.77304077148443
6.0,-80.24589538574219
1.0,-874.7216796875
1.0,-515.0289306640625
1.0,-825.6744384765625
7.0,-619.4837646484375
8.0,-440.8961791992188
10.0,-1227.1734619140625
5.0,-748.2145385742188
8.0,-1771.4100341796875
8.0,-311.10467529296875
8.0,-76.54158782958984
8.0,-112.2945785522461
10.0,-152.34112548828125
5.0,-138.56657409667972
5.0,-3308.736328125
9.0,-615.011962890625
9.0,-258.88619995117193
10.0,-14.162161827087402
10.0,-165.6875762939453
10.0,-226.7538604736328
6.0,-212.6591033935547
8.0,-93.15982055664062
10.0,-114.74575805664062
10.0,-379.6884460449219
10.0,-93.96644592285156
7.0,-143.2392120361328
9.0,-115.22315216064452
8.0,-160.856201171875
10.0,-35.87541580200195
10.0,-232.55393981933597
9.0,-378.1813659667969
8.0,-530.7964477539061
10.0,-410.5707092285156
8.0,-168.42440795898438
10.0,-370.6217651367188
10.0,-28.46357536315918
9.0,-121.4847183227539
10.0,-265.82376098632807
9.0,-44.65480422973633
9.0,-163.17640686035156
10.0,-382.3304748535156
10.0,-433.9623718261719
10.0,-77.06063842773438
9.0,-359.68798828125
9.0,-593.0317993164062
9.0,-337.5997619628906
10.0,-147.99606323242188
9.0,-278.43319702148443
9.0,-395.3489685058594
9.0,-107.18805694580078
10.0,-60.93762969970703
8.0,-53.432838439941406
8.0,-231.49728393554688
9.0,-125.68102264404295
10.0,-447.6439208984375
7.0,-141.57408142089844
8.0,-211.4989776611328
9.0,-39.4087142944336
5.0,-126.81815338134766
8.0,-127.76173400878906
10.0,-288.6515197753906
10.0,-339.85052490234375
10.0,-12.462774276733398
6.0,-212.35536193847656
10.0,-106.4724578857422
8.0,-666.8426513671875
10.0,-1124.870361328125
9.0,-937.6887817382812
7.0,-282.1084289550781
9.0,-223.6229553222656
9.0,-76.19171905517578
6.0,-1042.22021484375
8.0,-387.85382080078125
7.0,-243.48297119140625
9.0,-210.8124847412109
3.0,-549.531494140625
9.0,-395.3177185058594
10.0,-461.0682373046875
9.0,-322.3335876464844
7.0,-217.40658569335938
10.0,-131.73373413085938
10.0,-279.26254272460943
8.0,-156.16510009765625
10.0,-10.33309268951416
8.0,-137.40213012695312
4.0,-761.2130737304688
9.0,-124.85509490966795
9.0,-428.2796936035156
8.0,-925.3229370117188
9.0,-170.43678283691406
7.0,-71.5334701538086
5.0,-57.95565795898438
6.0,-42.9302978515625
